"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","assigned_to_rowid","assigned_by_rowid","assigned_datetime","assignment_status","remarks"
"49093000000170958","49093000000013007","2026-06-28 14:06:29:450","2026-06-28 14:06:29:450","49093000000157258","49093000000157164","49093000000157033","2025-11-22 13:12:12","In Progress","Repudiandae veniam itaque alias libero molestias pariatur reiciendis ab ratione."
"49093000000170959","49093000000013007","2026-06-28 14:06:29:461","2026-06-28 14:06:29:461","49093000000157259","49093000000157140","49093000000157161","2026-03-02 11:00:42","In Progress","Eligendi optio consequuntur explicabo consectetur eius eos officia."
"49093000000170960","49093000000013007","2026-06-28 14:06:29:461","2026-06-28 14:06:29:461","49093000000157260","49093000000157210","49093000000157117","2025-12-06 09:40:11","Completed","Accusantium illum labore hic sunt perferendis amet est odit corporis autem."
"49093000000170961","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157261","49093000000157208","49093000000157204","2026-03-25 04:51:18","Assigned","Iste qui nulla voluptate non quisquam magnam molestias inventore ea neque porro."
"49093000000170962","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157262","49093000000157049","49093000000157152","2026-04-23 18:28:42","Assigned","Voluptates facilis assumenda est mollitia nemo rerum consequuntur quia aliquam eligendi voluptate."
"49093000000170963","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157263","49093000000157032","49093000000157079","2025-12-27 09:33:11","Reassigned","Suscipit animi cupiditate porro beatae facere nulla ex ad voluptate dolore."
"49093000000170964","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157264","49093000000157050","49093000000157178","2024-08-14 05:27:44","Completed","Blanditiis magni ullam in provident explicabo ullam harum architecto minima deserunt ut molestiae."
"49093000000170965","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157265","49093000000157157","49093000000157168","2025-07-26 17:04:05","In Progress","Quia nesciunt delectus non esse laboriosam."
"49093000000170966","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157266","49093000000157042","49093000000157180","2025-11-13 18:34:16","Reassigned","Vero possimus ex voluptate expedita minima tempore suscipit doloribus quia illum."
"49093000000170967","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157267","49093000000157164","49093000000157053","2024-09-17 22:37:34","Assigned","Ea dolore fuga cumque placeat minima praesentium autem iste eos architecto."
"49093000000170968","49093000000013007","2026-06-28 14:06:29:462","2026-06-28 14:06:29:462","49093000000157268","49093000000157180","49093000000157096","2024-12-17 09:34:18","In Progress","Soluta assumenda nihil labore corporis cupiditate ducimus eveniet blanditiis perferendis et rerum magnam."
"49093000000170969","49093000000013007","2026-06-28 14:06:29:463","2026-06-28 14:06:29:463","49093000000157269","49093000000157116","49093000000157058","2024-12-03 22:52:50","In Progress","Quas ea aperiam nostrum accusantium magnam."
"49093000000170970","49093000000013007","2026-06-28 14:06:29:463","2026-06-28 14:06:29:463","49093000000157270","49093000000157173","49093000000157116","2026-04-25 00:48:08","Assigned","Unde provident sapiente aspernatur voluptate quibusdam ducimus."
"49093000000170971","49093000000013007","2026-06-28 14:06:29:463","2026-06-28 14:06:29:463","49093000000157271","49093000000157140","49093000000157170","2024-11-16 04:19:53","Reassigned","In quam rerum doloribus temporibus nulla et necessitatibus alias reiciendis temporibus amet."
"49093000000170972","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157272","49093000000157121","49093000000157132","2025-06-13 10:52:57","Reassigned","Laudantium cupiditate at architecto ipsam ut libero omnis rem culpa nemo labore."
"49093000000170973","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157273","49093000000157130","49093000000157179","2026-02-27 09:00:16","Completed","Quaerat quos soluta veniam recusandae molestias harum perspiciatis corrupti iure itaque exercitationem occaecati."
"49093000000170974","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157274","49093000000157056","49093000000157097","2025-05-24 10:52:13","In Progress","Unde ratione optio nam molestiae quam minus eum dolorem totam error."
"49093000000170975","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157275","49093000000157139","49093000000157137","2024-12-07 21:10:53","Completed","Temporibus fugiat quia aut magni possimus."
"49093000000170976","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157276","49093000000157036","49093000000157055","2024-08-19 20:18:03","In Progress","Distinctio officiis sed illum id enim quam officia."
"49093000000170977","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157277","49093000000157161","49093000000157099","2025-12-06 03:10:55","Completed","Harum nostrum soluta provident voluptate veniam eos amet quas nostrum vitae quas quae."
"49093000000170978","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157278","49093000000157176","49093000000157190","2025-10-18 05:44:16","Reassigned","Veritatis porro praesentium tenetur doloremque commodi quo facilis."
"49093000000170979","49093000000013007","2026-06-28 14:06:29:464","2026-06-28 14:06:29:464","49093000000157279","49093000000157099","49093000000157158","2024-11-23 23:45:49","Reassigned","Quae aspernatur a nemo nesciunt itaque rem distinctio aspernatur deserunt magnam."
"49093000000170980","49093000000013007","2026-06-28 14:06:29:465","2026-06-28 14:06:29:465","49093000000157280","49093000000157042","49093000000157173","2025-05-22 02:22:41","In Progress","Ut tenetur occaecati voluptate aliquid unde vel modi nulla."
"49093000000170981","49093000000013007","2026-06-28 14:06:29:465","2026-06-28 14:06:29:465","49093000000157281","49093000000157124","49093000000157033","2025-10-13 05:40:19","In Progress","Magni recusandae vero nobis adipisci consectetur vero est impedit praesentium nulla corrupti nostrum."
"49093000000170982","49093000000013007","2026-06-28 14:06:29:465","2026-06-28 14:06:29:465","49093000000157282","49093000000157049","49093000000157084","2025-10-06 09:07:09","In Progress","In tenetur fuga alias itaque esse officia iste odit veniam quas blanditiis."
"49093000000170983","49093000000013007","2026-06-28 14:06:29:465","2026-06-28 14:06:29:465","49093000000157283","49093000000157149","49093000000157191","2025-08-30 06:51:54","Assigned","Aut esse nesciunt officia illum perferendis eligendi laudantium."
"49093000000170984","49093000000013007","2026-06-28 14:06:29:465","2026-06-28 14:06:29:465","49093000000157284","49093000000157157","49093000000157178","2026-01-31 05:15:29","In Progress","Est asperiores qui doloribus beatae error repellat odio."
"49093000000170985","49093000000013007","2026-06-28 14:06:29:466","2026-06-28 14:06:29:466","49093000000157285","49093000000157154","49093000000157200","2025-05-21 13:09:32","Completed","Vitae vel totam nam nostrum sapiente quos aspernatur dolorem asperiores mollitia facilis."
"49093000000170986","49093000000013007","2026-06-28 14:06:29:466","2026-06-28 14:06:29:466","49093000000157286","49093000000157181","49093000000157172","2024-12-08 20:01:00","Completed","Quas commodi ipsum quod quia doloribus rem officiis provident laborum."
