"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","evidence_type_rowid","evidence_name","description","file_url","collected_by_rowid","collection_datetime","chain_of_custody","forensic_status"
"49093000000157763","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157258","49093000000164378","Document","Nostrum temporibus inventore corrupti minus repellendus harum numquam.","https://crimesight.ai/evidence/490203","49093000000157045","2026-04-12 21:42:57","Presented in Court","Matched"
"49093000000157764","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157258","49093000000164380","Mobile Phone","Iure magnam eveniet vel ab ipsa et iste dolorem ducimus.","https://crimesight.ai/evidence/198176","49093000000157045","2024-07-12 00:09:08","Transferred to FSL","Under Examination"
"49093000000157765","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157258","49093000000164372","DNA Sample","Nostrum quo sint beatae nostrum rem fugit voluptate doloremque eaque alias.","https://crimesight.ai/evidence/985314","49093000000157196","2025-11-27 07:23:32","Stored in Evidence Room","Not Matched"
"49093000000157766","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157258","49093000000164375","Fingerprint Sample","Nihil adipisci incidunt praesentium ut eum.","https://crimesight.ai/evidence/851275","49093000000157127","2025-03-02 00:45:41","Transferred to FSL","Matched"
"49093000000157767","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157259","49093000000164378","Fingerprint Sample","Cupiditate rerum fugiat officia fugit voluptatibus totam ullam quod autem.","https://crimesight.ai/evidence/381147","49093000000157181","2025-07-08 12:03:05","Collected","Pending"
"49093000000157768","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157259","49093000000164376","Laptop","Ducimus quia id consequatur assumenda quisquam nulla numquam nesciunt nobis quo est.","https://crimesight.ai/evidence/853962","49093000000157174","2026-01-27 09:46:47","Collected","Pending"
"49093000000157769","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157259","49093000000164371","CCTV Footage","Pariatur animi minus amet commodi hic praesentium voluptas ipsum sit distinctio illo quo.","https://crimesight.ai/evidence/848469","49093000000157153","2026-02-02 00:14:07","Presented in Court","Completed"
"49093000000157770","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157259","49093000000164372","Mobile Phone","Sunt ducimus maxime quibusdam ullam magnam labore.","https://crimesight.ai/evidence/791148","49093000000157051","2026-03-30 07:43:57","Presented in Court","Not Matched"
"49093000000157771","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157260","49093000000164372","Crime Scene Photograph","Itaque ad odio ad voluptatem ipsum voluptatibus explicabo dolorum sint suscipit maiores.","https://crimesight.ai/evidence/711042","49093000000157197","2024-08-19 08:16:38","Presented in Court","Pending"
"49093000000157772","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157260","49093000000164379","Crime Scene Photograph","Eum voluptatem omnis recusandae officia quod distinctio aperiam vitae iure.","https://crimesight.ai/evidence/178467","49093000000157213","2026-02-01 16:13:19","Transferred to FSL","Not Matched"
"49093000000157773","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157260","49093000000164371","CCTV Footage","Est impedit corporis cum velit quia amet accusamus praesentium.","https://crimesight.ai/evidence/192011","49093000000157095","2024-08-04 06:59:56","Transferred to FSL","Pending"
"49093000000157774","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157260","49093000000164379","Crime Scene Photograph","Facilis nesciunt in optio earum recusandae.","https://crimesight.ai/evidence/575915","49093000000157125","2026-01-11 03:05:25","Transferred to FSL","Completed"
"49093000000157775","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157261","49093000000164378","DNA Sample","Quam magni modi quia enim voluptatum eius placeat quibusdam ullam assumenda repellendus.","https://crimesight.ai/evidence/858281","49093000000157184","2026-05-23 23:39:24","Stored in Evidence Room","Matched"
"49093000000157776","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157261","49093000000164373","DNA Sample","Vitae incidunt cum non laborum tempora officia.","https://crimesight.ai/evidence/679752","49093000000157213","2025-06-03 08:56:52","Stored in Evidence Room","Not Matched"
"49093000000157777","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157261","49093000000164377","Laptop","Asperiores amet dignissimos in necessitatibus magni corrupti architecto placeat repellendus recusandae.","https://crimesight.ai/evidence/931123","49093000000157036","2025-04-28 02:50:48","Presented in Court","Under Examination"
"49093000000157778","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157261","49093000000164372","Knife","Nam quas quia tempore quia perferendis debitis deserunt voluptate iure.","https://crimesight.ai/evidence/333267","49093000000157188","2025-02-25 06:44:35","Transferred to FSL","Matched"
"49093000000157779","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157262","49093000000164374","Document","Deserunt magnam velit perspiciatis delectus delectus modi aut incidunt culpa nostrum.","https://crimesight.ai/evidence/346310","49093000000157131","2025-01-08 17:10:55","Presented in Court","Matched"
"49093000000157780","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157262","49093000000164373","Blood Sample","Rem quos distinctio aperiam temporibus culpa similique assumenda dolore adipisci.","https://crimesight.ai/evidence/551081","49093000000157069","2024-11-22 11:50:02","Stored in Evidence Room","Matched"
"49093000000157781","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157263","49093000000164371","Knife","Consequatur beatae maxime vero dolor quam reiciendis unde quidem veritatis quo sunt dolores.","https://crimesight.ai/evidence/709990","49093000000157099","2025-03-27 16:59:23","Transferred to FSL","Under Examination"
"49093000000157782","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157264","49093000000164372","Fingerprint Sample","Consequuntur temporibus pariatur explicabo beatae laboriosam molestias neque inventore itaque fugit.","https://crimesight.ai/evidence/883641","49093000000157036","2026-05-10 17:11:04","Transferred to FSL","Under Examination"
"49093000000157783","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157265","49093000000164375","Blood Sample","Eaque nobis aperiam deserunt deserunt iure sed fuga officia dolorem ad commodi.","https://crimesight.ai/evidence/165254","49093000000157145","2025-06-06 13:03:32","Presented in Court","Pending"
"49093000000157784","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157265","49093000000164371","Document","Accusantium facere quas alias consequatur rem fugit ut.","https://crimesight.ai/evidence/232694","49093000000157184","2025-02-09 00:44:37","Stored in Evidence Room","Completed"
"49093000000157785","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157266","49093000000164373","DNA Sample","Animi facilis minima similique dolore illo alias.","https://crimesight.ai/evidence/995337","49093000000157168","2026-04-06 09:37:59","Stored in Evidence Room","Completed"
"49093000000157786","49093000000013007","2026-06-28 13:40:59:190","2026-06-28 13:40:59:190","49093000000157266","49093000000164377","Blood Sample","Suscipit dolores suscipit sit aliquam aliquam veniam voluptatibus tempore unde perspiciatis.","https://crimesight.ai/evidence/270547","49093000000157061","2025-07-07 09:51:31","Collected","Completed"
"49093000000157787","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157266","49093000000164374","Vehicle","Vero ullam quas maiores odit id.","https://crimesight.ai/evidence/747957","49093000000157125","2026-06-01 18:09:17","Presented in Court","Under Examination"
"49093000000157788","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157267","49093000000164380","Laptop","Delectus recusandae eius libero inventore accusamus.","https://crimesight.ai/evidence/437483","49093000000157177","2026-03-14 00:46:40","Presented in Court","Not Matched"
"49093000000157789","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157268","49093000000164374","CCTV Footage","Distinctio minus placeat culpa rerum delectus aliquid.","https://crimesight.ai/evidence/540417","49093000000157132","2025-12-09 03:59:38","Transferred to FSL","Completed"
"49093000000157790","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157268","49093000000164375","Vehicle","Odit quod porro necessitatibus cum earum accusantium.","https://crimesight.ai/evidence/752222","49093000000157039","2025-11-24 19:03:35","Presented in Court","Completed"
