"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","activity_type","activity_description","activity_datetime","officer_rowid","attachment_url"
"49093000000167063","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157258","Victim Statement","Iste non explicabo quaerat omnis delectus beatae quo veritatis blanditiis illo est eum rerum corporis amet.","2025-03-14 19:51:38","49093000000157047","https://crimesight.ai/activity/797678"
"49093000000167064","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157258","Case Review","Dicta corporis tempora dicta earum provident vel eligendi voluptas pariatur vitae pariatur temporibus quo illo.","2026-04-11 20:21:18","49093000000157184","https://crimesight.ai/activity/274341"
"49093000000167065","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157258","Forensic Examination","Maxime quia sed culpa rerum occaecati commodi excepturi laborum velit nihil magni explicabo.","2025-11-03 11:10:31","49093000000157147","https://crimesight.ai/activity/364565"
"49093000000167066","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157259","Victim Statement","Quasi ratione voluptatum tempora iste soluta corporis doloremque accusamus dolorem quam nesciunt inventore corporis.","2026-03-23 13:21:58","49093000000157157","https://crimesight.ai/activity/747493"
"49093000000167067","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157259","Suspect Interrogation","Odit aperiam iste illum dignissimos temporibus voluptatem numquam aliquam.","2024-08-25 06:15:08","49093000000157144","https://crimesight.ai/activity/957077"
"49093000000167068","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157259","Document Verification","Odio natus sit officiis labore facere fugit minus nobis numquam placeat eligendi.","2024-11-12 23:55:32","49093000000157211","https://crimesight.ai/activity/879368"
"49093000000167069","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157259","Evidence Collection","Doloremque cumque sapiente sapiente consequuntur velit reiciendis minima blanditiis esse animi id ad animi dolorum.","2025-11-16 05:48:54","49093000000157098","https://crimesight.ai/activity/313606"
"49093000000167070","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157260","Crime Scene Visit","Expedita fuga accusantium fugit ducimus aperiam earum eum ducimus ducimus nihil voluptatibus.","2025-05-23 13:25:04","49093000000157141","https://crimesight.ai/activity/421099"
"49093000000167071","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157260","Suspect Interrogation","Nobis placeat beatae ab beatae dolore quia totam.","2026-02-21 11:00:31","49093000000157144","https://crimesight.ai/activity/628657"
"49093000000167072","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157260","Witness Examination","Animi porro laborum temporibus earum sint itaque modi ut soluta dignissimos ea inventore iure quis.","2024-09-27 11:00:33","49093000000157158","https://crimesight.ai/activity/256239"
"49093000000167073","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157260","Suspect Interrogation","Deserunt eligendi laboriosam sint consequatur laborum voluptates tempora repudiandae repudiandae illum.","2024-12-10 18:35:19","49093000000157203","https://crimesight.ai/activity/465147"
"49093000000167074","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157261","Document Verification","Tenetur numquam delectus aliquam omnis ex laboriosam.","2024-11-04 22:38:42","49093000000157189","https://crimesight.ai/activity/344074"
"49093000000167075","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157261","Crime Scene Visit","Facilis quo hic quasi nobis reprehenderit molestiae ad maxime molestias quae pariatur.","2025-04-21 06:39:23","49093000000157140","https://crimesight.ai/activity/555797"
"49093000000167076","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157261","Case Review","Voluptatem reiciendis laudantium quis est quaerat a error voluptate inventore suscipit quod corrupti ipsa.","2024-12-29 10:46:09","49093000000157200","https://crimesight.ai/activity/917669"
"49093000000167077","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157261","CCTV Analysis","In quas ad ipsa omnis debitis harum numquam inventore velit.","2024-11-29 12:46:24","49093000000157126","https://crimesight.ai/activity/791258"
