"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","property_name","property_type","estimated_value","recovered_status","description"
"49093000000153898","49093000000013007","2026-06-28 13:51:29:307","2026-06-28 13:51:29:307","49093000000157258","Watch","Jewellery","454947.45","false","Soluta veritatis delectus cumque commodi atque tempore dolorem repellat tempora animi impedit beatae."
"49093000000153899","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157258","Car","Documents","467349.1","false","Sint quisquam necessitatibus quo provident quos temporibus ipsa."
"49093000000153900","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157259","Gold Chain","Electronics","157013.12","false","Suscipit quam doloremque sunt voluptates ex."
"49093000000153901","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157260","Cash","Jewellery","203913.41","false","Earum eveniet perferendis nam commodi quisquam delectus quas explicabo nihil molestiae ex."
"49093000000153902","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157261","Mobile Phone","Electronics","96442.49","false","Minus vel exercitationem id fugiat pariatur corporis ab exercitationem."
"49093000000153903","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157262","Documents","Electronics","52595.87","false","Accusantium eveniet perspiciatis nemo accusantium quisquam eveniet expedita consequuntur nostrum recusandae tempore rerum."
"49093000000153904","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157262","Car","Cash","109479.9","false","Architecto voluptatem dolores neque distinctio omnis facere fuga numquam commodi ipsam ut."
"49093000000153905","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157262","Television","Household Item","158585.47","false","Ex nesciunt nesciunt ratione sint iure."
"49093000000153906","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157263","Documents","Household Item","187743.04","false","Esse vitae reprehenderit impedit quia enim laboriosam et."
"49093000000153907","49093000000013007","2026-06-28 13:51:29:308","2026-06-28 13:51:29:308","49093000000157263","Television","Cash","260307.51","true","Vitae quae dignissimos incidunt cupiditate exercitationem ipsa consequatur porro alias id numquam expedita."
"49093000000153908","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157263","Car","Cash","194731.26","true","Doloremque deleniti ducimus iure itaque eum veniam nisi amet voluptates natus rem."
