"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","unit_name","unit_code","district_rowid","unit_type","address","latitude","longitude","contact_number","email","is_active"
"49093000000153017","49093000000013007","2026-06-28 12:08:58:251","2026-06-28 12:08:58:251","Bagalkote District Police Office","U001","49093000000155006","District Police Office","Police Headquarters, Bagalkote, Karnataka","12.95","76.15","0800000001","dpo.bagalkote@ksp.gov.in","true"
"49093000000153018","49093000000013007","2026-06-28 12:08:58:253","2026-06-28 12:08:58:253","Bagalkote Town Police Station","U002","49093000000155006","Police Station","Town Police Station, Bagalkote, Karnataka","13.005","76.205","0800000002","ps.bagalkote@ksp.gov.in","true"
"49093000000153019","49093000000013007","2026-06-28 12:08:58:254","2026-06-28 12:08:58:254","Ballari District Police Office","U003","49093000000155007","District Police Office","Police Headquarters, Ballari, Karnataka","13.05","76.25","0800000003","dpo.ballari@ksp.gov.in","true"
"49093000000153020","49093000000013007","2026-06-28 12:08:58:254","2026-06-28 12:08:58:254","Ballari Town Police Station","U004","49093000000155007","Police Station","Town Police Station, Ballari, Karnataka","13.105","76.305","0800000004","ps.ballari@ksp.gov.in","true"
"49093000000153021","49093000000013007","2026-06-28 12:08:58:254","2026-06-28 12:08:58:254","Belagavi District Police Office","U005","49093000000155008","District Police Office","Police Headquarters, Belagavi, Karnataka","13.15","76.35","0800000005","dpo.belagavi@ksp.gov.in","true"
"49093000000153022","49093000000013007","2026-06-28 12:08:58:254","2026-06-28 12:08:58:254","Belagavi Town Police Station","U006","49093000000155008","Police Station","Town Police Station, Belagavi, Karnataka","13.205","76.405","0800000006","ps.belagavi@ksp.gov.in","true"
"49093000000153023","49093000000013007","2026-06-28 12:08:58:254","2026-06-28 12:08:58:254","Bengaluru Rural District Police Office","U007","49093000000155009","District Police Office","Police Headquarters, Bengaluru Rural, Karnataka","13.25","76.45","0800000007","dpo.bengalururural@ksp.gov.in","true"
"49093000000153024","49093000000013007","2026-06-28 12:08:58:254","2026-06-28 12:08:58:254","Bengaluru Rural Town Police Station","U008","49093000000155009","Police Station","Town Police Station, Bengaluru Rural, Karnataka","13.305","76.505","0800000008","ps.bengalururural@ksp.gov.in","true"
"49093000000153025","49093000000013007","2026-06-28 12:08:58:255","2026-06-28 12:08:58:255","Bengaluru Urban District Police Office","U009","49093000000155010","District Police Office","Police Headquarters, Bengaluru Urban, Karnataka","13.35","76.55","0800000009","dpo.bengaluruurban@ksp.gov.in","true"
"49093000000153026","49093000000013007","2026-06-28 12:08:58:255","2026-06-28 12:08:58:255","Bengaluru Urban Town Police Station","U010","49093000000155010","Police Station","Town Police Station, Bengaluru Urban, Karnataka","13.405","76.605","0800000010","ps.bengaluruurban@ksp.gov.in","true"
